movie_id,title,release_year,release_date,runtime,mpa_rating,mpa_rating_origin,imdb_score,votes,reviews_users,reviews_critics,budget,income_usa,income_ww,theater_opening,theater_total,country_1,country_2,country_3,studio,director,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6,Genre_7,Genre_8,awards,contract_price,studio_score,price_class,writer_1,writer_2,actor_1,actor_2,actor_3,description,storyline
tt0472033,9,2009,09-09-2009,79,PG-13,PG-13,7.1,127563,267,271,30000000,31749894,48428063,1661,2060,USA,,,Focus,Shane Acker,Animation,Action,Adventure,Drama,Family,Horror,Mystery,Sci-Fi,9 nominations.,2195,6,1,Pamela Pettler,Shane Acker,Christopher Plummer,Martin Landau,John C. Reilly,A rag doll that awakens in a postapocalyptic future holds the key to humanity's salvation.,"In a world destroyed in a war between man and machine, a hand-stitched doll with the number 9 written on its back comes to life. The world he has awakened in is frightening, but he quickly learns that he is not alone and that there are others like him, also with a single digit written on their back. The first one he encounters is 2 who tells him something of what happened to the world. 2 is also thrilled with the disk 9 is carrying, one with three unique symbols on the front. 9 soon learns that the disk and"
tt0478087,21,2008,03-28-2008,123,PG-13,PG-13,6.8,216963,302,151,35000000,81159365,157927340,2648,2952,USA,,,Sony Pictures/Columbia,Robert Luketic,Crime,Drama,History,Thriller,,,,,1 win & 5 nominations.,2295,10,1,Peter Steinfeld,Allan Loeb,Jim Sturgess,Kevin Spacey,Kate Bosworth,"""21"" is the fact-based story about six MIT students who were trained to become experts in card counting and subsequently took Vegas casinos for millions in winnings.","Ben Campbell is a young, highly intelligent, student at M.I.T. in Boston who strives to succeed. Wanting a scholarship to transfer to Harvard School of Medicine with the desire to become a doctor, Ben learns that he cannot afford the $300,000 for the four to five years of schooling as he comes from a poor, working-class background. But one evening, Ben is introduced by his unorthodox math professor Micky Rosa into a small but secretive club of five. Students Jill, Choi, Kianna, and Fisher, who are being tra"
tt0453562,42,2013,04-12-2013,128,PG-13,PG-13,7.5,79204,234,220,40000000,95020213,97470701,3003,3405,USA,,,WB,Brian Helgeland,Biography,Drama,Sport,,,,,,3 wins & 20 nominations.,2700,10,10,Brian Helgeland,,Chadwick Boseman,Harrison Ford,Nicole Beharie,"In 1947, Jackie Robinson becomes the first African-American to play in Major League Baseball in the modern era when he was signed by the Brooklyn Dodgers and faces considerable racism in the process.","In 1946, Jackie Robinson is a Negro League baseball player who never takes racism lying down. Branch Rickey is a Major League team executive with a bold idea. To that end, Rickey recruits Robinson to break the unspoken color line as the first modern African American Major League player. As both anticipate, this proves a major challenge for Robinson and his family as they endure unrelenting racist hostility on and off the field, from player and fan alike. As Jackie struggles against his nature to endure such"
tt0416449,300,2006,03-09-2007,117,R,R,7.7,702777,2142,463,65000000,210614939,456068181,3103,3280,USA,Canada,Bulga,WB,Zack Snyder,Action,Drama,,,,,,,17 wins & 45 nominations.,2700,10,10,Zack Snyder,Kurt Johnstad,Gerard Butler,Lena Headey,Dominic West,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,"In the Battle of Thermopylae of 480 BC an alliance of Greek city-states fought the invading Persian army in the mountain pass of Thermopylae. Vastly outnumbered, the Greeks held back the enemy in one of the most famous last stands of history. Persian King Xerxes led a Army of well over 100,000 (Persian king Xerxes before war has about 170,000 army) men to Greece and was confronted by 300 Spartans, 700 Thespians, and 400 Thebans. Xerxes waited for 10 days for King Leonidas to surrender or withdraw but left w"
tt0450385,1408,2007,06-22-2007,104,PG-13,PG-13,6.8,245370,622,306,25000000,71985628,132033383,2678,2733,USA,,,MGM/W,Mikael Hfstr,Fantasy,Horror,Mystery,,,,,,4 wins & 10 nominations.,2145,4,1,Matt Greenberg,Scott Alexander,John Cusack,Tony Shalhoub,Len Cariou,"A man who specialises in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror.","The cynical and skeptical writer Mike Enslin writes books evaluating supernatural phenomena in hotels, graveyards and other haunted places, usually debunking the mystery. While writing his latest book, he travels from Los Angeles to New York to spend one night in the Dolphin Hotel's posessed room 1408, which is permanently unavailable for guests. The reluctant manager Mr. Gerald Olin objects to his request and offers an upgrade, expensive booze and finally relates the death of more than fifty guests over de"
tt1190080,2012,2009,11-13-2009,158,PG-13,PG-13,5.8,334427,1135,226,200000000,166112167,788550900,3404,3444,USA,,,Sony Pictures/Columbia,Roland Emmerich,Action,Adventure,Sci-Fi,,,,,,5 wins & 21 nominations.,2295,10,1,Roland Emmerich,Harald Kloser,John Cusack,Amanda Peet,Chiwetel Ejiofor,A frustrated writer struggles to keep his family alive when a series of global catastrophes threatens to annihilate mankind.,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape th"
tt1022603,(500) Days of Summer,2009,08-07-2009,95,PG-13,PG-13,7.7,448799,563,349,7500000,32391374,60722734,27,1048,USA,,,Fox Searchlight,Marc Webb,Comedy,Drama,Romance,,,,,,Nominated for 2 Golden Globes.,2145,4,1,Scott Neustadter,Michael H. Weber,Joseph Gordon-Levitt,Zooey Deschanel,Geoffrey Arend,"An offbeat romantic comedy about a woman who doesn't believe true love exists, and the young man who falls for her.","After it looks as if she's left his life for good this time, Tom Hansen reflects back on the just over one year that he knew Summer Finn. For Tom, it was love at first sight when she walked into the greeting card company where he worked, she the new administrative assistant. Soon, Tom knew that Summer was the woman with whom he wanted to spend the rest of his life. Although Summer did not believe in relationships or boyfriends - in her assertion, real life will always ultimately get in the way - Tom and Sum"
tt1179933,10 Cloverfield Lane,2016,03-11-2016,103,PG-13,PG-13,7.2,268631,700,514,15000000,72082998,110216998,3391,3427,USA,,,Paramount,Dan Trachtenberg,Drama,Horror,Mystery,Sci-Fi,Thriller,,,,15 wins & 46 nominations.,2145,4,1,Josh Campbell,Matthew Stuecken,John Goodman,Mary Elizabeth Winstead,John Gallagher Jr.,"After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack.","After getting in a car accident, Michelle awakens to find herself in a mysterious bunker with two men named Howard and Emmett. Howard offers her a pair of crutches to help her remain mobile with her leg injury sustained from the car crash and tells her to ""get good on those"" before leaving the bunker. She has been given the information that there has been an alien attack and the outside world is poisoned. However, Howard and Emmett's intentions soon become questionable and Michelle is faced with a question:"
tt1160368,12 Rounds,2009,03-27-2009,108,PG-13,PG-13,5.6,26261,118,117,22000000,12234694,17280326,2331,2331,USA,,,20th Century Fox,Renny Harlin,Action,Crime,Thriller,,,,,,,2195,6,1,Daniel Kunka,,John Cena,Aidan Gillen,Ashley Scott,"Detective Danny Fisher discovers his girlfriend has been kidnapped by an ex-con tied to Fisher's past, and he'll have to successfully complete 12 challenges in order to secure her safe release.","Uniformed New Orleans PD officer Danny Fisher earns his promotion to detective to his near-rather lucky, albeit brave, arrest of ruthless terrorist arms-dealer Miles Jackson, whose girlfriend Erica Kessen got accidentally killed during the dirty FBI-operation. Exactly a year later, Miles has escaped and blows up Danny's house as foretaste of a Herculean race to accomplish twelve near-impossible tasks against the clock, otherwise his kidnapped girlfriend Molly will be killed. Yet at the end, another master-p"
tt1413492,12 Strong,2018,01-19-2018,130,R,R,6.6,54143,313,167,35000000,45819713,67450815,3002,3018,USA,,,WB,Nicolai Fuglsig,Action,Drama,History,War,,,,,3 nominations.,2385,10,3,Ted Tally,Peter Craig,Chris Hemsworth,Michael Shannon,Michael Pe　a,"12 Strong tells the story of the first Special Forces team deployed to Afghanistan after 9/11; under the leadership of a new captain, the team must work with an Afghan warlord to take down the Taliban.","The True Story of the Army's Special Forces ""Green Berets"", who within weeks responded to the 9-11 attack. Green Berets, with the help of the 160th SOAR(A), took over the country and allowed other Special Forces and the rest of the conventional military to begin the more publicly visible war."
