customer_id,gender,age,age_group,married,kids_under12,area,subs_start_year,ClusterHierarchical,ClusterKmeans,movie_watched,scribe_total,movie_watched_no_dup
C5001,F,51,50대,M,N,용산구,2015,35,2,55,38,40
C5002,M,22,20대,S,N,강남구,2015,13,5,23,17,17
C5003,F,33,30대,M,Y,서대문구,2015,82,4,55,35,40
C5004,F,24,20대,M,N,서대문구,2015,78,4,41,29,32
C5005,F,35,30대,M,N,마포구,2015,91,1,34,21,30
C5006,F,46,40대,S,N,강남구,2015,24,2,48,30,36
C5007,F,37,30대,M,N,광진구,2015,68,4,50,33,36
C5008,M,38,30대,M,Y,강남구,2015,20,5,87,45,48
C5009,M,39,30대,M,Y,양천구,2015,59,1,62,30,35
C5010,M,30,30대,M,N,동작구,2015,56,3,37,25,22
C5011,F,51,50대,S,N,용산구,2015,36,2,45,31,38
C5012,F,32,30대,M,Y,송파구,2015,82,4,51,30,29
C5013,F,43,40대,M,Y,양천구,2015,49,1,83,35,40
C5014,M,44,40대,M,Y,서대문구,2015,44,2,78,39,44
C5015,M,35,30대,S,N,마포구,2015,97,1,35,25,26
C5016,M,46,40대,M,Y,동작구,2015,48,3,86,41,45
C5017,F,37,30대,M,N,광진구,2015,68,4,51,31,31
C5018,F,28,20대,S,N,동작구,2015,55,3,40,26,30
C5019,F,65,60대,S,N,동작구,2015,51,3,48,32,40
C5020,M,30,30대,S,N,송파구,2015,69,4,42,29,35
C5021,M,31,30대,M,Y,강남구,2015,20,5,75,35,38
C5022,M,52,50대,M,Y,동작구,2015,48,3,83,41,40
C5023,F,19,10대,S,N,송파구,2015,73,4,25,16,20
C5024,F,44,40대,M,Y,서대문구,2015,41,2,83,43,37
C5025,M,25,20대,S,N,관악구,2015,61,3,29,21,20
C5026,M,46,40대,S,N,양천구,2015,96,1,46,27,33
C5027,F,57,50대,M,N,용산구,2015,35,2,49,32,41
C5028,M,38,30대,M,Y,강남구,2015,20,5,83,41,47
C5029,F,61,60대,M,N,서초구,2015,47,3,55,31,35
C5030,F,50,50대,M,N,양천구,2015,99,1,40,28,28
C5031,F,21,20대,M,Y,마포구,2015,92,1,53,30,24
C5032,M,32,30대,S,N,강남구,2015,22,5,58,34,28
C5033,M,53,50대,M,N,동작구,2015,50,3,54,37,33
C5034,M,34,30대,M,Y,광진구,2015,71,4,74,35,43
C5035,F,45,40대,M,Y,서대문구,2015,41,2,90,42,36
C5036,M,36,30대,M,Y,용산구,2015,16,5,43,31,28
C5037,M,47,40대,M,Y,서대문구,2015,44,2,80,36,44
C5038,F,48,40대,S,N,양천구,2015,98,1,39,26,36
C5039,M,39,30대,M,Y,용산구,2015,16,5,98,42,52
C5040,M,20,20대,M,N,강남구,2015,12,5,63,36,36
C5041,F,21,20대,M,N,강남구,2015,12,5,62,36,43
C5042,F,22,20대,M,N,용산구,2015,7,5,63,38,43
C5043,M,23,20대,M,N,송파구,2015,76,4,47,30,33
C5044,F,54,50대,M,N,마포구,2015,84,1,40,27,34
C5045,M,35,30대,M,Y,양천구,2015,59,1,69,31,39
C5046,M,46,40대,S,N,강남구,2015,23,2,55,29,32
C5047,M,47,40대,M,N,용산구,2015,43,2,44,31,30
C5048,M,38,30대,M,N,양천구,2015,97,1,43,28,31
C5049,M,29,20대,M,Y,양천구,2015,59,1,72,37,38
C5050,M,50,50대,M,N,광진구,2015,85,1,45,30,33
C5051,F,21,20대,S,N,용산구,2015,4,5,34,28,22
C5052,M,22,20대,S,N,광진구,2015,74,4,41,25,30
C5053,M,23,20대,M,N,용산구,2015,10,5,54,33,32
C5054,F,24,20대,M,N,용산구,2015,7,5,44,25,30
C5055,F,25,20대,M,Y,송파구,2015,77,4,83,39,37
C5056,F,36,30대,M,Y,서대문구,2015,82,4,51,31,38
C5057,F,47,40대,M,N,동작구,2015,57,3,62,35,31
C5058,M,28,20대,M,Y,강남구,2015,11,5,45,30,38
C5059,F,63,60대,S,N,용산구,2015,36,2,39,29,33
C5060,F,30,30대,S,N,강남구,2015,24,5,61,35,38
C5061,M,31,30대,M,Y,강남구,2015,20,5,63,38,33
C5062,F,42,40대,M,Y,마포구,2015,94,1,45,30,29
C5063,M,23,20대,S,N,서대문구,2015,2,4,42,25,31
C5064,F,54,50대,M,N,양천구,2015,99,1,77,40,42
C5065,M,45,40대,M,Y,용산구,2015,42,2,33,24,26
C5066,F,56,50대,S,N,강남구,2015,28,2,50,27,36
C5067,M,37,30대,S,N,광진구,2015,69,4,79,36,36
C5068,F,48,40대,M,Y,동작구,2015,48,3,69,32,34
C5069,F,29,20대,M,Y,마포구,2015,92,1,77,40,37
C5070,F,40,40대,M,Y,관악구,2015,66,3,29,21,21
C5071,M,21,20대,S,N,용산구,2015,1,5,46,29,31
C5072,M,22,20대,S,N,서초구,2015,60,3,50,33,37
C5073,F,33,30대,M,N,서대문구,2015,80,4,37,21,26
C5074,M,34,30대,M,Y,송파구,2015,81,4,57,34,33
C5075,F,35,30대,S,N,광진구,2015,68,4,44,26,25
C5076,F,36,30대,M,Y,송파구,2015,82,4,38,29,28
C5077,M,27,20대,S,N,용산구,2015,1,5,63,34,43
C5078,F,38,30대,M,N,송파구,2015,80,4,43,31,31
C5079,M,29,20대,S,N,마포구,2015,89,1,88,44,42
C5080,M,50,50대,M,Y,서대문구,2015,37,2,84,41,47
C5081,F,31,30대,M,Y,양천구,2015,59,1,38,24,32
C5082,M,22,20대,S,N,강남구,2015,13,5,52,32,34
C5083,M,23,20대,M,N,용산구,2015,10,5,68,36,34
C5084,F,24,20대,S,N,서대문구,2015,4,4,31,21,27
C5085,F,25,20대,S,N,관악구,2015,61,3,77,36,44
C5086,M,46,40대,M,Y,용산구,2015,42,2,55,33,39
C5087,F,37,30대,M,N,관악구,2015,66,3,77,38,31
C5088,F,28,20대,M,Y,광진구,2015,93,4,42,26,29
C5089,M,59,50대,M,N,마포구,2015,84,1,63,30,30
C5090,F,30,30대,M,Y,서대문구,2015,82,4,92,42,45
C5091,F,41,40대,M,Y,용산구,2015,40,2,47,32,35
C5092,F,22,20대,S,N,서초구,2015,60,3,76,38,47
C5093,M,33,30대,M,Y,광진구,2015,71,4,87,42,45
C5094,M,44,40대,M,Y,강남구,2015,30,2,59,28,38
C5095,M,55,50대,M,N,서초구,2015,47,3,61,33,41
C5096,F,46,40대,S,N,용산구,2015,33,2,63,34,38
C5097,M,27,20대,S,N,마포구,2015,89,1,41,30,30
C5098,M,58,50대,M,N,양천구,2015,50,1,63,37,32
C5099,M,39,30대,M,N,용산구,2015,6,5,96,43,40
C5100,M,20,20대,M,Y,용산구,2015,9,5,50,31,40
C5101,F,51,50대,M,Y,광진구,2015,83,1,78,38,49
C5102,F,42,40대,M,N,서대문구,2015,39,2,63,35,27
C5103,M,43,40대,M,Y,양천구,2015,49,1,56,31,36
C5104,F,24,20대,M,Y,용산구,2015,8,5,44,28,34
C5105,M,25,20대,S,N,송파구,2015,72,4,74,40,38
C5106,M,56,50대,S,N,용산구,2015,36,2,54,34,36
C5107,M,37,30대,S,N,강남구,2015,22,5,21,13,16
C5108,F,48,40대,M,Y,강남구,2015,29,2,68,35,29
C5109,M,59,50대,M,N,강남구,2015,26,2,45,31,33
C5110,M,40,40대,M,N,송파구,2015,69,4,39,28,28
C5111,F,31,30대,M,Y,양천구,2015,59,1,93,41,44
C5112,F,22,20대,M,N,광진구,2015,93,4,55,27,34
C5113,F,33,30대,M,N,용산구,2015,6,5,43,31,29
C5114,F,44,40대,M,Y,서대문구,2015,41,2,22,17,18
C5115,M,35,30대,M,N,서초구,2015,64,3,50,29,30
C5116,M,56,50대,M,N,양천구,2015,50,1,54,33,34
C5117,F,19,10대,S,N,강남구,2015,15,5,46,33,36
C5118,F,28,20대,M,Y,마포구,2015,92,1,38,25,29
C5119,M,49,40대,M,N,강남구,2015,23,2,71,37,39
C5120,F,20,20대,S,N,관악구,2015,61,3,98,44,50
C5121,F,51,50대,S,N,강남구,2015,28,2,70,34,33
C5122,M,42,40대,M,Y,광진구,2015,70,1,47,33,28
C5123,M,43,40대,M,Y,용산구,2015,42,2,41,25,32
C5124,F,24,20대,M,Y,용산구,2015,8,5,28,18,20
C5125,M,55,50대,M,N,용산구,2015,26,2,40,31,26
C5126,F,46,40대,S,N,양천구,2015,98,1,34,22,30
C5127,M,19,10대,S,N,관악구,2015,61,3,85,38,41
C5128,F,28,20대,S,N,서초구,2015,60,3,38,24,32
C5129,F,59,50대,M,N,마포구,2015,84,1,66,36,45
C5130,F,40,40대,M,Y,용산구,2015,40,2,71,39,37
C5131,F,21,20대,S,N,용산구,2015,4,5,43,31,27
C5132,F,52,50대,M,N,서대문구,2015,35,2,83,40,43
C5133,M,23,20대,M,Y,강남구,2015,11,5,66,37,43
C5134,M,34,30대,M,N,양천구,2015,97,1,33,23,24
C5135,M,55,50대,M,Y,용산구,2015,31,2,45,29,30
C5136,M,56,50대,M,Y,강남구,2015,31,2,44,30,33
