customer_id,gender,age,age_group,married,kids_under12,area,subs_start_year,movie_watched,movie_watched_no_dup,scribe_total,repeat_mov,ClusterHierarchical,ClusterKmeans
C5001,F,51,50대,M,N,용산구,2015,55,40,38,15,591,1
C5002,M,22,20대,S,N,강남구,2015,23,17,17,6,418,2
C5003,F,33,30대,M,Y,서대문구,2015,55,40,35,15,589,1
C5004,F,24,20대,M,N,서대문구,2015,41,32,29,9,647,1
C5005,F,35,30대,M,N,마포구,2015,34,30,21,4,348,2
C5006,F,46,40대,S,N,강남구,2015,48,36,30,12,651,1
C5007,F,37,30대,M,N,광진구,2015,50,36,33,14,613,1
C5008,M,38,30대,M,Y,강남구,2015,87,48,45,39,233,3
C5009,M,39,30대,M,Y,양천구,2015,62,35,30,27,527,5
C5010,M,30,30대,M,N,동작구,2015,37,22,25,15,458,2
C5011,F,51,50대,S,N,용산구,2015,45,38,31,7,644,1
C5012,F,32,30대,M,Y,송파구,2015,51,29,30,22,545,1
C5013,F,43,40대,M,Y,양천구,2015,83,40,35,43,270,3
C5014,M,44,40대,M,Y,서대문구,2015,78,44,39,34,251,3
C5015,M,35,30대,S,N,마포구,2015,35,26,25,9,351,2
C5016,M,46,40대,M,Y,동작구,2015,86,45,41,41,223,3
C5017,F,37,30대,M,N,광진구,2015,51,31,31,20,689,1
C5018,F,28,20대,S,N,동작구,2015,40,30,26,10,324,1
C5019,F,65,60대,S,N,동작구,2015,48,40,32,8,634,1
C5020,M,30,30대,S,N,송파구,2015,42,35,29,7,317,1
C5021,M,31,30대,M,Y,강남구,2015,75,38,35,37,154,3
C5022,M,52,50대,M,Y,동작구,2015,83,40,41,43,272,3
C5023,F,19,10대,S,N,송파구,2015,25,20,16,5,394,2
C5024,F,44,40대,M,Y,서대문구,2015,83,37,43,46,299,3
C5025,M,25,20대,S,N,관악구,2015,29,20,21,9,484,2
C5026,M,46,40대,S,N,양천구,2015,46,33,27,13,633,1
C5027,F,57,50대,M,N,용산구,2015,49,41,32,8,643,1
C5028,M,38,30대,M,Y,강남구,2015,83,47,41,36,232,3
C5029,F,61,60대,M,N,서초구,2015,55,35,31,20,606,1
C5030,F,50,50대,M,N,양천구,2015,40,28,28,12,663,1
C5031,F,21,20대,M,Y,마포구,2015,53,24,30,29,191,5
C5032,M,32,30대,S,N,강남구,2015,58,28,34,30,199,5
C5033,M,53,50대,M,N,동작구,2015,54,33,37,21,560,1
C5034,M,34,30대,M,Y,광진구,2015,74,43,35,31,248,5
C5035,F,45,40대,M,Y,서대문구,2015,90,36,42,54,286,3
